trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,jump-blue,0,0
1,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,finish,0,0
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,jump-blue,0,0
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,jump-blue,0,0
1,data/domains/blocks,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,putdown,0,0
1,data/domains/blocks,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,pickup,0,0
1,data/domains/grid,openai,gpt-5-nano,True,first,validate,0,0,0,False,True,drop,0,0
1,data/domains/grid,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,move,0,0
1,data/domains/grid,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,move,0,0
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark-validate,0,0,0,False,True,slide-red,0,0
1,data/domains/grid,openai,gpt-5-nano,True,first,landmark-validate,0,0,0,False,True,pickup,0,0
1,data/domains/grid,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,pickup,0,0
1,data/domains/hiking,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-5-nano,True,detailed-first,landmark,7,7,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-5-nano,True,detailed-first,landmark-validate,6,6,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-5-nano,True,first,landmark-validate,5,5,10,True,False,,2,10
1,data/domains/hiking,openai,gpt-5-nano,True,first,validate,6,6,10,True,False,,0,10
1,data/domains/grid,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,drop,0,0
1,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,8,8,10,True,False,,10,10
1,data/domains/blocks,openai,gpt-5-nano,True,detailed-first,landmark,8,8,10,True,False,,2,10
1,data/domains/miconic,openai,gpt-5-nano,True,first,validate,2,2,10,True,False,,2,10
1,data/domains/hiking,openai,gpt-5-nano,True,first,landmark,6,6,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-5-nano,True,first,landmark-validate,7,7,10,True,False,,10,10
1,data/domains/flow,openai,gpt-5-nano,True,first,landmark-validate,7,7,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-5-nano,True,detailed-first,validate,8,8,10,True,False,,2,10
1,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark-validate,5,5,10,True,False,,10,10
1,data/domains/blocks,openai,gpt-5-nano,True,first,validate,9,9,10,True,False,,2,10
1,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark-validate,1,1,10,True,False,,10,10
1,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,3,3,10,True,False,,10,10
1,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark-validate,1,1,10,True,False,,10,10
1,data/domains/blocks,openai,gpt-5-nano,True,first,landmark-validate,9,9,10,True,False,,2,10
1,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,6,6,10,True,False,,10,10
1,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark,3,3,10,True,False,,6,10
1,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,4,4,10,True,False,,4,10
1,data/domains/miconic,openai,gpt-5-nano,True,first,landmark,8,8,10,True,False,,2,10
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/flow,openai,gpt-5-nano,True,first,landmark,7,7,10,True,False,,0,10
1,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,5,5,10,True,False,,0,10
1,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,7,7,10,True,False,,0,10
