NON VAR INFO =========================================

TRIAL: 2

Experiment Params ====================================

PROVIDER: openai
MODEL: o4-mini
DOMAIN PATH: data/domains/checkers-jumping
DESC CLASS: first
FEEDBACK PIPELINE: landmark
GIVE PRED DESCRIPTIONS: True

EXPERIMENT RESULTS ===================================

DOMAIN CHECK RUNS: 1
LANDMARK RUNS: 3
VAL RUNS: 3
HDE ITERATIONS: 5
HDE TIMEOUT: True
ACTION TIMEOUT: False
ACTION TIMEOUT CAUSE: 
EVALS PASSED: 0
TOTAL EVALS: 10
LANGGRAPH PATH:
	call_action_model->
	check_action->
	call_action_model->
	check_action->
	next_action->
	call_action_model->
	check_action->
	next_action->
	call_action_model->
	check_action->
	next_action->
	call_action_model->
	check_action->
	next_action->
	call_action_model->
	check_action->
	next_action->
	build_domain->
	check_domain_syntax->
	call_domain_model->
	check_domain_syntax->
	feedback->
	call_domain_model->
	check_domain_syntax->
	feedback->
	call_domain_model->
	check_domain_syntax->
	feedback->
	call_domain_model->
	check_domain_syntax->
	hde_timeout_node->
	final_evaluation
Message Tree:
-0 Root
 -1 SYSTEM (G: 1, H: inf, Score: inf)
  -2 HUMAN (G: 2, H: inf, Score: inf)
   -3 HUMAN (G: 3, H: inf, Score: inf)
    -4 AI (G: 4, H: inf, Score: inf)
     -5 HUMAN (G: 5, H: inf, Score: inf)
      -6 AI (G: 6, H: inf, Score: inf)
       -7 HUMAN (G: 7, H: inf, Score: inf)
        -8 AI (G: 8, H: inf, Score: inf)
         -9 HUMAN (G: 9, H: inf, Score: inf)
          -10 AI (G: 10, H: inf, Score: inf)
           -11 HUMAN (G: 11, H: inf, Score: inf)
            -12 AI (G: 12, H: inf, Score: inf)
             -13 HUMAN (G: 13, H: inf, Score: inf)
              -14 AI (G: 14, H: inf, Score: inf)
               -15 HUMAN (G: 15, H: inf, Score: inf)
                -16 AI (G: 16, H: inf, Score: inf)
                 -17 HUMAN (G: 17, H: inf, Score: inf)
                  -18 AI (G: 18, H: inf, Score: inf)
                   -19 HUMAN (G: 19, H: inf, Score: inf)
                    -20 HUMAN (G: 20, H: inf, Score: inf)
                     -21 AI (G: 21, H: 5, Score: 7.1)
                      -22 HUMAN (G: 22, H: 5, Score: 7.2)
                       -23 AI (G: 23, H: 5, Score: 7.300000000000001)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                      -22 HUMAN (G: 22, H: 5, Score: 7.2)
                       -23 AI (G: 23, H: 5, Score: 7.300000000000001)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
                        -24 HUMAN (G: 24, H: 5, Score: 7.4)
