trial,domain_path,provider,model,give_pred_descriptions,desc_class,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-06-17_01-29-25,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,1,False,False,,20,20
2025-06-17_01-29-25,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,13,True,False,,17,20
2025-06-17_01-29-25,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,13,True,False,,19,20
2025-06-17_01-29-25,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,14,True,False,,12,20
2025-06-17_01-29-25,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,13,True,False,,0,20
2025-06-17_01-29-25,data/domains/flow,openai,o4-mini,True,detailed-first,1,False,False,,20,20
2025-06-17_01-29-25,data/domains/blocks,openai,o4-mini,True,detailed-first,13,True,False,,12,20
2025-06-17_01-29-25,data/domains/miconic,openai,o4-mini,True,detailed-first,4,False,False,,20,20
2025-06-17_01-29-25,data/domains/bookseller,openai,o4-mini,True,detailed-first,14,True,False,,17,20
2025-06-17_01-29-25,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,0,False,False,,0,0
