trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals,domain_raw
2025-07-18_02-57-28,data/domains/flow,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,o4-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,o4-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,o4-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,o4-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,o4-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/miconic,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/miconic,openai,o4-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/bookseller,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/bookseller,openai,o4-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/bookseller,openai,o4-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/checkers-jumping,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/checkers-jumping,openai,o4-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-val,0,False,False,,0,0,
2025-07-18_02-57-28,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,False,False,,0,0,
