trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals,domain_raw
2025-07-18_03-51-51,data/domains/flow,openai,o4-mini,True,first,validate,1,False,False,,20,20,"
        (define (domain flow)
            (:requirements :strips :typing)
            (:types color
location)
            (:predicates (flow-complete ?c - color)
(adjacent ?l1 - location ?l2 - location)
(flow-end ?l - location ?c - color)
(offboard)
(not-empty ?l - location)
(empty ?l - location)
(at ?l - location)
(drawing ?c - color))

            (:action start-flow
 :parameters (?l - location ?c - color)
 :precondition (and (offboard) (flow-end ?l ?c) (empty ?l))
 :effect (and (not (offboard)) (at ?l) (drawing ?c) (not (empty ?l)))
)
(:action start-flow
 :parameters (?l - location ?c - color)
 :precondition (and (offboard) (flow-end ?l ?c) (empty ?l))
 :effect (and (not (offboard)) (at ?l) (drawing ?c) (not (empty ?l)) (not-empty ?l))
)
(:action extend-flow
 :parameters (?c - color ?from - location ?to - location)
 :precondition (and (drawing ?c) (at ?from) (adjacent ?from ?to) (empty ?to))
 :effect (and
   (not (empty ?to))
   (not (at ?from))
   (at ?to)
   (not-empty ?to)
 )
)
(:action complete-flow
 :parameters (?c - color ?from - location ?to - location)
 :precondition (and (drawing ?c) (at ?from) (adjacent ?from ?to) (flow-end ?to ?c))
 :effect (and
   (not (drawing ?c))
   (not (empty ?to))
   (not (at ?from))
   (at ?to)
   (flow-complete ?c)
   (not-empty ?to)
 )
)
        )
    "
2025-07-18_03-51-51,data/domains/flow,openai,o4-mini,True,first,landmark-val,1,False,False,,20,20,"
        (define (domain flow)
            (:requirements :strips :typing)
            (:types color
location)
            (:predicates (flow-complete ?c - color)
(adjacent ?l1 - location ?l2 - location)
(flow-end ?l - location ?c - color)
(offboard)
(empty ?l - location)
(not-empty ?l - location)
(current ?c - color ?l - location))

            (:action start-flow
    :parameters (?c - color ?l - location)
    :precondition (and (offboard) (flow-end ?l ?c) (empty ?l))
    :effect (and (not (offboard))
                 (not (empty ?l))
                 (not-empty ?l)
                 (current ?c ?l)))
(:action begin-flow
    :parameters (?c - color ?l - location)
    :precondition (and (offboard)
                       (flow-end ?l ?c)
                       (empty ?l))
    :effect (and (not (offboard))
                 (not (empty ?l))
                 (not-empty ?l)
                 (current ?c ?l)))
(:action extend-flow
    :parameters (?c - color ?from - location ?to - location)
    :precondition (and (current ?c ?from)
                       (adjacent ?from ?to)
                       (empty ?to))
    :effect (and (not (empty ?to))
                 (not-empty ?to)
                 (not (current ?c ?from))
                 (current ?c ?to)))
(:action complete-flow
    :parameters (?c - color ?from - location ?lend - location)
    :precondition (and (current ?c ?from)
                       (adjacent ?from ?lend)
                       (flow-end ?lend ?c))
    :effect (and (not (current ?c ?from))
                 (flow-complete ?c)
                 (offboard)))
        )
    "
2025-07-18_03-51-51,data/domains/flow,openai,o4-mini,True,detailed-first,validate,1,False,False,,20,20,"
        (define (domain flow)
            (:requirements :strips :typing)
            (:types color
location)
            (:predicates (flow-complete ?c - color)
(adjacent ?l1 - location ?l2 - location)
(flow-end ?l - location ?c - color)
(offboard)
(not-empty ?l - location)
(empty ?l - location)
(current-color ?c - color)
(current-loc ?l - location)
(flow-path ?l - location ?c - color))

            (:action start-flow
    :parameters (?c - color ?l - location)
    :precondition (and
        (offboard)
        (flow-end ?l ?c)
        (empty ?l)
    )
    :effect (and
        (not (offboard))
        (not (empty ?l))
        (current-color ?c)
        (current-loc ?l)
    )
)
(:action begin-flow
    :parameters (?c - color ?l - location)
    :precondition (and
        (offboard)
        (flow-end ?l ?c)
        (empty ?l)
    )
    :effect (and
        (not (offboard))
        (not (empty ?l))
        (not-empty ?l)
        (current-color ?c)
        (current-loc ?l)
        (flow-path ?l ?c)
    )
)
(:action extend-flow
    :parameters (?c - color ?l_old - location ?l_new - location)
    :precondition (and
        (current-color ?c)
        (current-loc ?l_old)
        (adjacent ?l_old ?l_new)
        (empty ?l_new)
    )
    :effect (and
        (not (empty ?l_new))
        (not (current-loc ?l_old))
        (not-empty ?l_new)
        (flow-path ?l_new ?c)
        (current-loc ?l_new)
    )
)
(:action complete-flow
    :parameters (?c - color ?l_old - location ?l_end - location)
    :precondition (and
        (current-color ?c)
        (current-loc ?l_old)
        (adjacent ?l_old ?l_end)
        (flow-end ?l_end ?c)
        (empty ?l_end)
    )
    :effect (and
        (not (current-loc ?l_old))
        (not (empty ?l_end))
        (not (current-color ?c))
        (offboard)
        (flow-path ?l_end ?c)
        (flow-complete ?c)
    )
)
        )
    "
2025-07-18_03-51-51,data/domains/flow,openai,o4-mini,True,detailed-first,landmark-val,1,False,False,,0,20,"
        (define (domain flow)
            (:requirements :strips :typing)
            (:types color
location)
            (:predicates (flow-complete ?c - color)
(adjacent ?l1 - location ?l2 - location)
(flow-end ?c - color ?l - location)
(offboard)
(not-empty ?l - location)
(empty ?l - location)
(current ?c - color ?l - location)
(filled ?c - color ?l - location))

            (:action start-flow
 :parameters (?c - color ?l - location)
 :precondition (and (offboard) (flow-end ?c ?l) (empty ?l))
 :effect (and (not (offboard)) (not (empty ?l)) (current ?c ?l))
)
(:action start-flow
 :parameters (?c - color ?l - location)
 :precondition (and (offboard) (flow-end ?c ?l) (empty ?l))
 :effect (and (not (offboard)) (not (empty ?l)) (not-empty ?l) (current ?c ?l))
)
(:action extend-flow
 :parameters (?c - color ?from - location ?to - location)
 :precondition (and (current ?c ?from) (adjacent ?from ?to) (empty ?to))
 :effect (and
    (not (empty ?to))
    (not-empty ?to)
    (filled ?c ?to)
    (not (current ?c ?from))
    (current ?c ?to)
 )
)
(:action complete-flow
 :parameters (?c - color ?from - location ?to - location)
 :precondition (and
    (current ?c ?from)
    (adjacent ?from ?to)
    (flow-end ?c ?to)
    (empty ?to)
 )
 :effect (and
    (not (current ?c ?from))
    (not (empty ?to))
    (not-empty ?to)
    (filled ?c ?to)
    (flow-complete ?c)
    (offboard)
 )
)
        )
    "
2025-07-18_03-51-51,data/domains/blocks,openai,o4-mini,True,first,validate,0,False,False,,0,0,
2025-07-18_03-51-51,data/domains/blocks,openai,o4-mini,True,first,landmark-val,1,False,False,,12,20,"
        (define (domain blocks)
            (:requirements :strips :typing)
            (:types block)
            (:predicates (handempty)
(holding ?x - block)
(ontable ?x - block)
(clear ?x - block)
(on ?x - block ?y - block))

            (:action stack
 :parameters (?x - block ?y - block)
 :precondition (and (holding ?x) (clear ?y))
 :effect (and
   (not (holding ?x))
   (handempty)
   (on ?x ?y)
   (clear ?x)
   (not (clear ?y))
 )
)
(:action pick-up
 :parameters (?x - block)
 :precondition (and (ontable ?x) (clear ?x) (handempty))
 :effect (and
   (not (ontable ?x))
   (not (clear ?x))
   (not (handempty))
   (holding ?x)
 )
)
(:action put-down
 :parameters (?x - block)
 :precondition (and (holding ?x))
 :effect (and
   (ontable ?x)
   (clear ?x)
   (handempty)
   (not (holding ?x))
 ))
(:action stack
 :parameters (?x - block ?y - block)
 :precondition (and (holding ?x) (clear ?y))
 :effect (and
   (not (holding ?x))
   (not (clear ?y))
   (handempty)
   (on ?x ?y)
   (clear ?x)
 ))
(:action unstack
 :parameters (?x - block ?y - block)
 :precondition (and (on ?x ?y) (clear ?x) (handempty))
 :effect (and
   (holding ?x)
   (clear ?y)
   (not (on ?x ?y))
   (not (clear ?x))
   (not (handempty))
 )
)
        )
    "
2025-07-18_03-51-51,data/domains/blocks,openai,o4-mini,True,detailed-first,validate,10,True,False,,12,20,"(define (domain blocks)
  (:requirements :strips :typing)
  (:types block)
  (:predicates
    (handempty)
    (holding ?x - block)
    (ontable ?x - block)
    (on ?x - block ?y - block)
    (clear ?x - block)
  )

  ;; pick up a clear block from the table
  (:action pick-up
    :parameters (?x - block)
    :precondition (and (ontable ?x)
                       (clear ?x)
                       (handempty))
    :effect (and (holding ?x)
                 (not (ontable ?x))
                 (not (clear ?x))
                 (not (handempty)))
  )

  ;; pick up a clear block from atop another block
  (:action unstack
    :parameters (?x - block ?y - block)
    :precondition (and (on ?x ?y)
                       (clear ?x)
                       (handempty))
    :effect (and (holding ?x)
                 (not (on ?x ?y))
                 (clear ?y)
                 (not (clear ?x))
                 (not (handempty)))
  )

  ;; put a held block down on the table
  (:action put-down
    :parameters (?x - block)
    :precondition (holding ?x)
    :effect (and (ontable ?x)
                 (clear ?x)
                 (handempty)
                 (not (holding ?x)))
  )

  ;; stack a held block onto a clear block
  (:action stack
    :parameters (?x - block ?y - block)
    :precondition (and (holding ?x)
                       (clear ?y))
    :effect (and (on ?x ?y)
                 (clear ?x)
                 (handempty)
                 (not (holding ?x))
                 (not (clear ?y)))
  )
)"
2025-07-18_03-51-51,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark-val,1,False,False,,12,20,"
        (define (domain blocks)
            (:requirements :strips :typing)
            (:types block)
            (:predicates (handempty)
(ontable ?x - block)
(on ?x - block ?y - block)
(clear ?x - block)
(holding ?x - block))

            (:action stack
 :parameters (?x - block ?y - block)
 :precondition (and (holding ?x) (clear ?y))
 :effect (and (not (holding ?x)) (not (clear ?y)) (handempty) (on ?x ?y) (clear ?x)))
(:action pick-up
 :parameters (?x - block)
 :precondition (and (ontable ?x) (clear ?x) (handempty))
 :effect (and (holding ?x)
              (not (ontable ?x))
              (not (clear ?x))
              (not (handempty))))
(:action put-down
 :parameters (?x - block)
 :precondition (and (holding ?x))
 :effect (and (ontable ?x)
              (clear ?x)
              (handempty)
              (not (holding ?x))))
(:action stack
 :parameters (?x - block ?y - block)
 :precondition (and (holding ?x) (clear ?y))
 :effect (and (not (holding ?x))
              (handempty)
              (on ?x ?y)
              (clear ?x)
              (not (clear ?y))))
(:action unstack
 :parameters (?x - block ?y - block)
 :precondition (and (on ?x ?y) (clear ?x) (handempty))
 :effect (and (holding ?x)
              (clear ?y)
              (not (on ?x ?y))
              (not (clear ?x))
              (not (handempty))))
        )
    "
2025-07-18_03-51-51,data/domains/miconic,openai,o4-mini,True,first,validate,1,False,False,,20,20,"
        (define (domain miconic)
            (:requirements :strips :typing)
            (:types passenger
floor)
            (:predicates (lift-at ?f - floor)
(above ?f1 - floor ?f2 - floor)
(destin ?p - passenger ?f - floor)
(not-boarded ?p - passenger)
(not-served ?p - passenger)
(served ?p - passenger)
(origin ?p - passenger ?f - floor)
(boarded ?p - passenger))

            (:action move-up
    :parameters (?from ?to - floor)
    :precondition (and (lift-at ?from) (above ?to ?from))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
(:action board-passenger
    :parameters (?p - passenger ?f - floor)
    :precondition (and (lift-at ?f) (origin ?p ?f) (not-boarded ?p))
    :effect (and (boarded ?p) (not (not-boarded ?p))))
(:action depart-passenger
    :parameters (?p - passenger ?f - floor)
    :precondition (and (lift-at ?f) (destin ?p ?f) (boarded ?p) (not-served ?p))
    :effect (and (served ?p) (not (not-served ?p)) (not (boarded ?p))))
(:action move-up
    :parameters (?from ?to - floor)
    :precondition (and (lift-at ?from) (above ?to ?from))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
(:action move-down
    :parameters (?from ?to - floor)
    :precondition (and (lift-at ?from) (above ?from ?to))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
        )
    "
2025-07-18_03-51-51,data/domains/miconic,openai,o4-mini,True,first,landmark-val,1,False,False,,20,20,"
        (define (domain miconic)
            (:requirements :strips :typing)
            (:types passenger
floor)
            (:predicates (lift-at ?f - floor)
(above ?f1 - floor ?f2 - floor)
(destin ?p - passenger ?f - floor)
(not-boarded ?p - passenger)
(not-served ?p - passenger)
(served ?p - passenger)
(origin ?p - passenger ?f - floor)
(in-lift ?p - passenger))

            (:action descend
    :parameters (?from - floor ?to - floor)
    :precondition (and (lift-at ?from) (above ?from ?to))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
(:action board-passenger
    :parameters (?p - passenger ?f - floor)
    :precondition (and (lift-at ?f) (origin ?p ?f) (not-boarded ?p))
    :effect (and (not (not-boarded ?p)) (in-lift ?p)))
(:action depart-passenger
    :parameters (?p - passenger ?f - floor)
    :precondition (and (in-lift ?p) (lift-at ?f) (destin ?p ?f) (not-served ?p))
    :effect (and (not (in-lift ?p)) (not (not-served ?p)) (served ?p)))
(:action ascend
    :parameters (?from - floor ?to - floor)
    :precondition (and (lift-at ?from) (above ?to ?from))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
(:action descend
    :parameters (?from - floor ?to - floor)
    :precondition (and (lift-at ?from) (above ?from ?to))
    :effect (and (not (lift-at ?from)) (lift-at ?to)))
        )
    "
