trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,8,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,18,18
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,2,3,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,8,10,True,False,,10,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,8,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,18,18
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,20,20
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,1,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,18,18
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,2,3,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,2,4,False,False,,20,20
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,False,False,,0,0
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,False,True,jump-blue,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,3,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,10,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,False,False,,18,18
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,False,True,slide-blue,0,0
2025-07-18_10-55-20,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,9,10,True,False,,0,20
2025-07-18_10-55-20,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,False,False,,20,20
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,2,3,False,False,,0,0
2025-07-18_10-55-20,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,10,True,False,,18,20
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,3,False,False,,18,18
2025-07-18_10-55-20,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,False,False,,0,0
