trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,first,landmark,8,0,10,True,False,,0,10
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,1,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,13,1,20,True,False,,10,10
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark,9,0,10,True,False,,0,10
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,2,False,False,,0,0
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark,8,0,10,True,False,,8,10
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,0,10,True,False,,8,10
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,7,0,10,False,False,,0,0
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark,7,0,10,True,False,,8,10
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,8,10
2025-07-30_12-37-31,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,14,1,20,True,False,,8,10
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark,9,0,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,10,8,19,False,False,,0,0
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark,9,0,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,8,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,11,8,20,True,False,,0,0
2025-07-30_12-37-31,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark,0,0,10,True,False,,0,10
2025-07-30_12-37-31,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,3,10,True,False,,10,10
2025-07-30_12-37-31,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,15,0,20,True,False,,10,10
2025-07-30_12-37-31,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark,9,0,10,True,False,,7,10
2025-07-30_12-37-31,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,2,10
