domain_path,provider,model,give_pred_descriptions,desc_class,result
data/domains/elevators,openai,o4-mini,True,detailed-first,
data/domains/elevators,openai,o4-mini,True,first,1
data/domains/flow,openai,o4-mini,True,detailed-first,1
data/domains/flow,openai,o4-mini,True,first,1
data/domains/pathfinder,openai,o4-mini,True,detailed-first,
data/domains/pathfinder,openai,o4-mini,True,first,
data/domains/bookseller,openai,o4-mini,True,detailed-first,1
data/domains/bookseller,openai,o4-mini,True,first,
data/domains/alchemy,openai,o4-mini,True,detailed-first,1
data/domains/alchemy,openai,o4-mini,True,first,1
data/domains/elevators,deepseek,deepseek-chat,True,detailed-first,
data/domains/elevators,deepseek,deepseek-chat,True,first,
data/domains/flow,deepseek,deepseek-chat,True,detailed-first,1
data/domains/flow,deepseek,deepseek-chat,True,first,1
data/domains/pathfinder,deepseek,deepseek-chat,True,detailed-first,
data/domains/pathfinder,deepseek,deepseek-chat,True,first,
data/domains/bookseller,deepseek,deepseek-chat,True,detailed-first,
data/domains/bookseller,deepseek,deepseek-chat,True,first,
data/domains/alchemy,deepseek,deepseek-chat,True,detailed-first,
data/domains/alchemy,deepseek,deepseek-chat,True,first,
